Date,Nombre de la organizacion,Employee Count,Website de la empresa,Linkedin url,Lead,ICP Scorer,Razon del true or false,Resumen corporativo,companyType,companyTypeDetail,Company mission,Noticias relevantes (pagina web),Productos ofrecidos ,Porductos de interes con HTBA,Productos del FDA
22/11/2025,,,,,,,,,,,,,,,
,COVAP,,https://covap.es,http://www.linkedin.com/company/covap,TRUE,Fuerte,"Se venden productos lácteos con Vitamina B12 indicada en la ficha nutricional (p. ej. Leche Calcio Protect desnatada COVAP: Vitamina B12 0,63 μg — https://tienda.covap.es/lacteos/leche/calcio/leche-desnatada-calcio-protect-covap-1l/; también aparece en fichas de leche entera y semidesnatada — https://tienda.covap.es/lacteos/leche/leche-entera-covap-1-5l/). La web corporativa muestra un enfoque claro en sostenibilidad y agricultura sostenible en su sección “Impacto positivo”, respaldando criterio de sostenibilidad (https://www.covap.es/impacto-positivo/, https://www.covap.es/impacto-positivo/medio-ambiente/agricultura/).","COVAP (Sociedad Cooperativa Andaluza Ganadera del Valle de los Pedroches) es una cooperativa agroalimentaria focalizada en producción y transformación de leche, lácteos y carne (vacuno y porcino ibérico), con canales B2C (marca y tienda online) y B2B (suministro a mercados y alimentación). Su posicionamiento combina producto de origen local y trazabilidad con un enfoque marcado en sostenibilidad y desarrollo rural.",,,"Misión y valores (inferidos de su web ‘Impacto positivo’): promover una ganadería sostenible y de calidad, fortalecer el tejido rural y la cooperativa de ganaderos, garantizar trazabilidad y bienestar animal, y ofrecer productos saludables y de proximidad con compromiso ambiental.",No se encontraron noticias recientes,"- Leche (entera, semidesnatada, desnatada): incluye referencias enriquecidas como 'Leche Desnatada Calcio Protect' (ficha indica Vitamina B12 0,63 µg). Productos disponibles en formatos retail (1–1,5 L) y distribuidos bajo marca COVAP.
- Yogures y postres lácteos: gama de yogures y fermentados para consumo directo y potenciación nutricional.
- Quesos (frescos y curados): elaboración propia, orientada a retail y canal horeca.
- Carne fresca y elaborados: porcino (ibérico) y vacuno, desde canal fresco hasta carnes procesadas.
- Piensos y suministros ganaderos: formulaciones y servicios para la cooperativa y sus socios (insumo para producción primaria).","- MecobalActive®: Encaja con la línea de leches y yogures enriquecidos (p. ej. productos que ya declaran Vitamina B12). Propuesta de valor: permitiría reforzar la fortificación con una forma de B12 de alta biodisponibilidad y estabilidad tecnológica, facilitando comunicaciones nutricionales diferenciadas en la gama (ej. ‘fuente de Vitamina B12’/mejora del perfil nutricional) y alineado con sus referencias actuales.
- Citrosa+®: Encaja en leches bajas en grasa, yogures y bebidas lácteas que buscan reducción de azúcar/grasas manteniendo aceptación sensorial. Propuesta de valor: modulador de sabor natural para enmascarar notas amargas o ácidas y realzar perfiles cítricos/aceptación, permitiendo reformulaciones ‘menos azúcar/menos grasa’ sin perder palatabilidad y apoyando claims de etiqueta limpia (clean label) si procede.
- Bioflavex®: Encaja en carne fresca/elaborados y en quesos/derivados lácteos con riesgo de oxidación lipídica. Propuesta de valor: acción antioxidante y de protección sensorial que ayuda a preservar color, olor y sabor, prolongando aceptabilidad en el lineal y reduciendo pérdidas por rancidez; también aplicable en premixes para piensos con objetivo de mejorar el estado antioxidante del animal y potencialmente la calidad de canal.",
,Grupo Lacasa,,https://lacasa.es,http://www.linkedin.com/company/grupolacasa,TRUE,Fuerte,"El informe de responsabilidad de Grupo Lacasa (memoria_responsabilidad_ES_2020_2021.pdf) especifica que Lacasa Nature ofrece nuevas barritas de cereales “ahora con vitamina B6 y B12” (https://grupo.lacasa.es/content/pdf/memoria_responsabilidad_ES_2020_2021.pdf). La web corporativa del Grupo muestra secciones y políticas de Sostenibilidad y Pacto Mundial/ODS, evidenciando un enfoque de sostenibilidad en su comunicación corporativa (https://grupo.lacasa.es/).","Grupo Lacasa es un grupo alimentario español especializado en confitería y chocolatería (tabletas, pralinés, turrones), barritas de cereales y snacks, con presencia en mercados nacionales e internacionales. Su comunicación corporativa enfatiza innovación de producto y sostenibilidad, incluyendo líneas funcionales como Lacasa Nature.",,,"Promover la calidad e innovación en productos de confitería y snacks, integrando criterios de sostenibilidad y responsabilidad (ODS y Pacto Mundial) en su cadena de valor; ofrecer productos que combinen tradición sensorial con aportes funcionales para el consumidor.",No se encontraron noticias recientes relevantes.,"- Tabletas de chocolate y pralinés: gamas tradicionales y premium orientadas a consumo estacional y continuo.
- Turrones: surtido estacional con innovación en sabores (pralinés, nuevas tabletas).
- Lacasa Nature — barritas de cereales (mencionadas en la Memoria de Responsabilidad 2020–2021) ahora enriquecidas con vitamina B6 y B12 (fortificación declarada).
- Grageas y productos recubiertos: formatos para impulso y retail.
- Snacks y productos de conveniencia: formatos listos para consumo y propuestas dirigidas a jóvenes/adultos.
(Precios públicos: no se encontraron precios accesibles en la web pública.)","- MecobalActive® (División Salud Funcional): Propuesta de valor estratégica para las barritas Lacasa Nature y para fortificación de tabletas/pralinés con vitamina B12/B6. Justificación: forma estable y microencapsulada que mejora la conservación frente a procesos térmicos y minimiza off‑flavors metálicos, facilitando claims de vitaminas sin deteriorar perfil sensorial.

- Citrosa+® (División Modulación de Sabor): Propuesta de valor para turrones, tabletas frutadas y formulaciones con reducción parcial de azúcar. Justificación: actúa como modulador de sabor/potenciador natural y como fuente de bioflavonoides, permitiendo mantener palatabilidad con menor azúcar y enmascarar notas indeseadas de activos funcionales, alineado con posicionamiento clean‑label.

- Bioflavex® (División Salud Funcional / Antioxidantes): Propuesta de valor para pralinés, turrones con frutos secos y snacks con alto contenido graso. Justificación: complejo de bioflavonoides/antioxidantes naturales orientado a proteger lípidos y frutos secos frente a rancidez, prolongar vida útil y aportar un claim antioxidante natural que refuerza el mensaje de sostenibilidad y calidad del producto.",
,Grupo Alter,,https://grupoalter.es,http://www.linkedin.com/company/grupo-alter,TRUE,Medio,"La web de Grupo Alter (sección Noticias) menciona expresamente “Extractos de algas: ricos en Vitamina C y B12” (https://grupoalter.es/noticias.php?orden=2&lng=es ; vers. EN: https://grupoalter.es/noticias.php?orden=2&lng=en), indicando que comercializan extractos/ingredientes que contienen Vitamina B12. No se encontraron referencias públicas en el sitio a metilcobalamina específica ni a claims claros de sostenibilidad (Green Chemistry/trazabilidad) o a estudios clínicos/biodisponibilidad que respalden una puntuación más alta.","Grupo Alter es un grupo empresarial español con actividad en fabricación farmacéutica y suministro de ingredientes y extractos naturales para alimentación y nutrición clínica. Opera instalaciones GMP/GDP certificadas y una logística con capacidad industrial, y está enfocado en el suministro B2B de principios activos, extractos (incluidas algas) y servicios de laboratorio y fabricación.",,,"No se encuentra una declaración de misión explícita y detallada en el sitio público; se infiere que su misión es proveer ingredientes y servicios de fabricación farmacéutica y nutricional de alta calidad, con énfasis en cumplimiento normativo (GMP/GDP, ISO) y servicio logístico a clientes industriales. En la web no se muestran claims claros de sostenibilidad (Green Chemistry/trazabilidad) ni evidencia pública de estudios clínicos o de biodisponibilidad.","- Lanzamiento/puesta en valor de la nueva Unidad de Negocio en Nutrición Clínica; la sección de noticias menciona explícitamente “Extractos de algas: ricos en Vitamina C y B12”.
- No se encontraron otras noticias públicas recientes relevantes en los últimos 12 meses en el sitio que aporten datos adicionales sobre metilcobalamina, trazabilidad/Green Chemistry o estudios clínicos.","- Extractos de algas (""Extractos de algas: ricos en Vitamina C y B12""): ingredientes naturales dirigidos a nutrición clínica y suplementos (precio no publicado).
- Productos farmacéuticos y servicios de laboratorio (fabricación con cumplimiento GMP/GDP): suministro B2B de principios activos y formulaciones para el sector farmacéutico.
- Unidad de Nutrición Clínica: soluciones y productos orientados a nutrición clínica y suplementación (detalles de SKUs/no se encontraron precios públicos).
- Servicios logísticos e instalaciones industriales: centro logístico (capacidad ~22.000 pallets), certificaciones ISO 9001, ISO 14001, OHSAS 18001 (soporte a clientes con necesidad de almacenamiento y distribución regulada).","- MecobalActive® (División Salud Funcional): Propuesta de valor — solución basada en metilcobalamina que encaja directamente con los extractos de algas que Grupo Alter comercializa y que declaran contenido de Vitamina B12. Valor estratégico: permite fortalecer claims de biodisponibilidad y diferenciación en nutrición clínica y suplementos (mejor posicionamiento para formular productos con B12 ‘bioactiva’ frente a formas menos activas).
- Citrosa+® (División Salud Funcional / Apoyo antioxidante): Propuesta de valor — mezcla de bioflavonoides/antioxidantes que puede estabilizar la Vitamina C presente en extractos de algas y potenciar la actividad antioxidante del ingrediente final. Valor estratégico: mejora la estabilidad y la percepción funcional del producto (posible reducción de degradación de Vit C durante procesado y almacenamiento).
- Bioflavex® (División Modulación de Sabor / Salud Funcional): Propuesta de valor — complejo de bioflavonoides y matrices funcionales útil tanto para protección antioxidante como para mejorar palatabilidad. Valor estratégico: enmascara notas marinas/amargas asociadas a extractos de algas, facilitando lanzamientos en formatos consumidores (líquidos, masticables, sobres) y permitiendo estrategias de reducción de azúcar o de aromas enmascarantes.
- Aplicación combinada (cross-selling): Propuesta de valor — combinando MecobalActive® con Citrosa+®/Bioflavex® se ofrece a Grupo Alter una solución integrada: aumentar el valor percibido de sus extractos de algas (B12 estabilizada + Vit C protegida) y resolver retos de palatabilidad, lo que facilita su uso en nutrición clínica y suplementos B2B/B2C. (Nota: la propuesta usa las marcas exactas de HTBA y se centra en la justificación estratégica; para detalles técnicos o fichas hay que validar compatibilidades técnicas con HTBA).",
,Acesur,,https://acesur.com,http://www.linkedin.com/company/acesur,FALSE,N/A,"En el sitio corporativo y en su sección de private label Acesur se identifica exclusivamente como productor, envasador y comercializador de aceites de oliva y marcas (https://acesur.com; https://acesurnorthamerica.com/private-label/) sin mención alguna de suplementos, vitamina B12 o metilcobalamina, ni comunicados sobre desarrollo de productos con B12; tampoco se encontraron líneas de bebidas funcionales, premixes o productos nutracéuticos que indiquen alta probabilidad de inclusión de B12.",,,,,,,,
,pbserum,,https://pbserum.com,http://www.linkedin.com/company/proteosbiotech,FALSE,N/A,"El sitio oficial y LinkedIn indican que pbserum / Proteos Biotech es una compañía de biotecnología enfocada en enzimas recombinantes y productos cosmeceúticos/estéticos (https://pbserum.com/about-us, https://pbserum.com/enzymes, https://www.linkedin.com/company/proteosbiotech), y no se encontraron referencias públicas a Vitamina B12 o metilcobalamina ni a líneas de productos tipo suplementos, premixes o bebidas funcionales que sugieran intención de lanzar B12.",,,,,,,,
,Suntory Beverage & Food Spain,,https://suntory.com,http://www.linkedin.com/company/suntory-beverage-food-spain,TRUE,Bajo,"Suntory Beverage & Food comercializa marcas y gamas de bebidas funcionales/energéticas (p.ej. Lucozade, Ribena, Orangina), lo que la convierte en un candidato natural para la inclusión de vitaminas como B12 (https://suntorybfe.com/benelux/brands/, https://lucozade.com/ranges/). Su web de sostenibilidad/productos muestra énfasis en información nutricional y promoción de opciones saludables (https://suntorybfe.com/spain/sostenibilidad/productos/, https://suntorybfe.com/sbfe/sustainability/products/), pero no se encontró evidencia pública de SKUs, descripciones o comunicados que indiquen uso o intención explícita de Vitamina B12 o Metilcobalamina.","Suntory Beverage & Food Spain es la filial europea del grupo Suntory especializada en la fabricación y comercialización de bebidas no alcohólicas y productos de salud funcional. Comercializa marcas globales y regionales reconocidas (p. ej. Lucozade, Ribena, Orangina, Suntory Tennensui, BOSS) y opera tanto en segmentoss masivos como en nichos de bebidas funcionales y suplementos.",,,"La filosofía corporativa de Suntory se articula en ‘The Suntory Group Way’: proteger la naturaleza, respetar a las personas, priorizar la calidad, superar las expectativas del consumidor y desafiarse continuamente. En sus comunicaciones de sostenibilidad y productos la compañía enfatiza responsabilidad ambiental, información nutricional clara y promoción de opciones más saludables.",No se encontraron noticias recientes relevantes.,"- Lucozade — gama de bebidas energéticas/funcionales (energy variants, sports). No se encontraron precios públicos.
- Ribena — bebidas y concentrados a base de frutas/arándanos/moras; posicionadas como bebidas de fruta con enfoque en sabor y tradición. No se encontraron precios públicos.
- Orangina — refrescos carbonatados cítricos, marca posicionada en sabor distintivo y marketing icónico. No se encontraron precios públicos.
- Suntory Tennensui — agua embotellada y mineral; portafolio de agua premium. No se encontraron precios públicos.
- BOSS — cafés listos para beber (RTD coffee) con presencia en mercados europeos. No se encontraron precios públicos.
- BRAND'S / Sesamin EX — línea de suplementos y productos de salud/bienestar, comercializados en algunos mercados europeos. No se encontraron precios públicos.

Nota: En la revisión pública no se encontró evidencia explícita y pública de SKUs que contengan Vitamina B12 (metilcobalamina) en las fórmulas actuales del portafolio en España.","- MecobalActive® → Aplicación recomendada: gamas energéticas/funcionales (Lucozade, V) y suplementos (BRAND'S). Justificación: permite incorporar vitamina B12 (metilcobalamina) como fortificante para reforzar claims nutricionales de energía y salud; aporta una solución de cobalamina comercialmente orientada a fortificación de bebidas y productos funcionales.

- Citrosa+® → Aplicación recomendada: bebidas carbonatadas cítricas y formulaciones con perfil ácido (Orangina y variantes cítricas). Justificación: solución de modulación de sabor diseñada para mejorar la palatabilidad de bebidas cítricas y facilitar reducciones de azúcar o el uso de edulcorantes, al minimizar notas amargas/undesired off-notes asociadas a formulaciones más bajas en azúcar.

- Bioflavex® → Aplicación recomendada: bebidas de fruta y mezclas funcionales (Ribena, bebidas de frutas rojas). Justificación: añadido de bioflavonoides para reforzar el perfil antioxidante y la percepción de naturalidad/beneficio funcional en bebidas de fruta; valor cruzado para posicionamiento health-forward y claims de ‘antioxidantes’ o ‘componentes naturales’.

Observación: Las soluciones listadas corresponden a productos de las divisiones de Salud Funcional y Modulación de Sabor de HTBA y están alineadas con necesidades típicas de fortificación (B12), mejora de palatabilidad y refuerzo funcional en bebidas. Para propuestas técnicas y comerciales precisas (fichas, límites de uso, estabilidad y formulación) será necesario validar con las fichas técnicas internas de HTBA.",
,Vichy Catalan,,https://vichycatalan.com,http://www.linkedin.com/company/grupo-vichy-catalan,TRUE,Bajo,"La marca Mondariz Frutas (Vichy Catalan) comercializa néctares «enriquecidos con vitaminas A, C, E y B6» (https://www.vichycatalan.com/nuestras-marcas/mondariz-frutas/), lo que demuestra que la empresa ya incorpora vitaminas en bebidas y la convierte en un candidato de alta oportunidad para añadir B12. No se encontró evidencia pública de productos que contengan Vitamina B12/Metilcobalamina ni comunicados de intención de lanzar B12, ni referencias claras a sostenibilidad o estudios clínicos en las páginas consultadas.","Vichy Catalan Corporation es un grupo español histórico especializado en aguas minerales y bebidas saludables, con presencia internacional y varias marcas (Vichy Catalan, Mondariz Frutas, Vichy Catalan Sabores). Su oferta combina aguas minerales carbonatadas de origen y una gama de bebidas/néctares de fruta posicionadas hacia la salud y el sabor.",,,"Misión y valores (inferidos): promover la salud y el bienestar mediante productos derivados de manantiales minerales de calidad, con énfasis en tradición, innovación de producto y expansión internacional; foco en la excelencia sensorial y la comunicación de beneficios saludables de sus marcas.","- 26 abr 2024: Vichy Catalan colaboró en el proyecto 'Camí de Mar' (comunicado en la sección de noticias del sitio). 
- Anuncio en la web sobre el lanzamiento de 'nuevos sabores' en la gama de bebidas frutales (sección de producto muestra novedades del portfolio; sin fecha de publicación clara en la página).","- Vichy Catalan (agua mineral natural con gas propia del manantial): posicionamiento premium, uso en canal horeca y retail.
- Mondariz Frutas (néctares de fruta sin azúcares añadidos, enriquecidos con vitaminas A, C, E y B6): productos B2C orientados a salud y conveniencia; candidatos claros para añadir micronutrientes funcionales. 
- Vichy Catalan Sabores (aguas saborizadas y bebidas con perfil de marca): formatos orientados a palatabilidad y diferenciación sensorial.
- Otras bebidas y zumos del grupo (Premium Mix Group / Manantial de Salud): portfolio de bebidas saludables y mezclas, relevantes para integración de ingredientes funcionales.","- MecobalActive® (División Salud Funcional / Farmacéutica): Propuesta de valor estratégica para Mondariz Frutas — metilcobalamina estable y comercializable que permite añadir Vitamina B12 activa y habilitar alegaciones nutricionales autorizadas (p. ej. contribución al metabolismo energético y al sistema nervioso). Valor comercial: convierte un producto ya enriquecido en un diferenciador de mercado (B12 añadida) con fuerte storytelling funcional para consumidores preocupados por vitaminas del grupo B.

- Citrosa+® (División Modulación de Sabor): Propuesta de valor para Vichy Catalan Sabores y las gamas de néctares — modulador aromático que realza notas cítricas/frutales y aumenta la percepción de dulzor sin subir sólidos solubles. Valor comercial: permite estrategias de reducción de azúcar manteniendo aceptación sensorial y facilita comunicar reducción de azúcares o perfil reformulado hacia opciones más saludables.

- Bioflavex® (División Salud Funcional): Propuesta de valor para añadir claims antioxidantes en bebidas de fruta — extracto/bioflavonoides que incrementa el contenido de compuestos con actividad antioxidante, ofreciendo posicionamiento ‘funcional’ (antioxidantes naturales) y mayor valor percibido en segmentos saludables. Valor comercial: refuerza el posicionamiento healthy de Mondariz Frutas y ayuda a diferenciar frente a competidores mediante ingredientes de origen natural con asociación a beneficios antioxidantes.

Nota sobre Nutrición Animal y otras divisiones: con el portfolio público revisado no hay una propuesta directa de Nutrición Animal aplicable al negocio de bebidas. Las tres soluciones anteriores cubren las oportunidades comerciales más relevantes para incorporar B12, mejorar palatabilidad/reducir azúcar y añadir claims antioxidantes en el portfolio de Vichy Catalan.",
04/02/2026,,,,,,,,,,,,,,,
,Arbonne,14512,https://arbonne.com,http://www.linkedin.com/company/arbonne,TRUE,Fuerte,"La página de producto EnergyFizz Ginseng Fizz Sticks de Arbonne lista explícitamente Vitamin B12 como ingrediente (https://www.arbonne.com/ca/en/p/2151%20CA) y la ficha del multivitamínico BeWell Daily Multivitamin & Mineral aparece en el catálogo de Arbonne indicando inclusión de vitaminas como B12 (https://www.arbonne.com/us/en/shop-all/nutrition/skin-health-%2526-beauty-from-within/bewell-daily-multivitamin-%2526-mineral/p/2452%20US). No se encontró evidencia pública clara en las páginas consultadas de reivindicaciones destacadas de sostenibilidad (p. ej. “sostenibilidad”, “Green Chemistry”, trazabilidad) ni de énfasis en estudios clínicos o ingredientes patentados, por lo que se asigna puntuación Medio.","Arbonne es una empresa global de salud y bienestar que combina lo mejor de la naturaleza y la ciencia para crear productos de alto rendimiento en áreas como la belleza y la nutrición. Desde 1980, se ha comprometido a estándares rigurosos y a un enfoque holístico del bienestar.",,,"Empoderar a las personas a florecer a través de la vida saludable y sostenible, proporcionando productos que son puros, seguros y beneficiosos.","- En junio de 2025, Arbonne celebró su 45 aniversario con el lanzamiento de nuevos productos en su Conferencia Global de Capacitación, destacando su compromiso continuo con el desarrollo de productos de alta calidad. - Además, se inauguró una nueva oficina central en Irvine, California, como parte de su estrategia para fortalecer la transparencia en los ingredientes y el compromiso con la sostenibilidad.",- EnergyFizz Ginseng Fizz Sticks (contiene B12) - BeWell Daily Multivitamin & Mineral (incluye vitaminas como B12) ,"- Citrosa+: Esta solución puede ser relevante para mejorar la palatabilidad de sus suplementos nutricionales. - MecobalActive: Este ingrediente específico podría potenciar los beneficios del B12 en sus productos, ayudando en la energía y salud metabólica.",
